"Curso";"Unidade Curricular";"Turno";"Turma";"Inscritos no turno";"Dia da semana";"Hora início da aula";"Hora fim da aula";"Data da aula";"Sala atribuída à aula";"Lotação da sala"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"24/9/2022";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"1/2/2023";"C4.02";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"12/3/2023";"C4.02";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"6/1/2023";"C4.06";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"10/9/2022";"C5.06";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"29/10/2022";"2E10";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"13:00:00";"14:30:00";"12/9/2022";"2E10";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"16/2/2023";"D1.02";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"27/8/2022";"2E10";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"24/2/2023";"0S01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"6/2/2023";"C4.06";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"3/2/2023";"0S01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"18/9/2022";"2E10";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"23/1/2023";"D1.12";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"11/10/2022";"Auditório 2";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"14/10/2022";"Auditório B2.04";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"15/1/2023";"C5.06";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"27/3/2023";"D1.02";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"2/10/2022";"1E08";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"13/8/2022";"Auditório 1";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"30/8/2022";"1E08";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"10/4/2023";"D1.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"17/10/2022";"0S01";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"15/1/2023";"C4.02";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"8/10/2022";"Auditório 1";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Ter";"09:30:00";"11:00:00";"6/11/2022";"0S02";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"27/8/2022";"Auditório 1";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"14/8/2022";"1E08";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"25/9/2022";"1E04";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"12/4/2023";"D1.12";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"3/10/2022";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qui";"13:00:00";"14:30:00";"27/9/2022";"C2.01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"9/10/2022";"1E08";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"21:30:00";"23:00:00";"6/11/2022";"";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"16/1/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"27/9/2022";"0S01";"0"
