"Curso";"Unidade Curricular";"Turno";"Turma";"Inscritos no turno";"Dia da semana";"Hora início da aula";"Hora fim da aula";"Data da aula";"Sala atribuída à aula";"Lotação da sala"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"30/10/2022";"2E05";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"19/8/2022";"Auditório B2.04";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"28/3/2023";"0S08";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"3/10/2022";"0S01";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"3/9/2022";"Auditório B2.04";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"25/10/2022";"1E08";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"20/2/2023";"C5.06";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"16/11/2022";"Auditório 1";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"14:30:00";"16:00:00";"14/8/2022";"2E10";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"24/9/2022";"Auditório B2.04";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"10/9/2022";"Auditório B2.04";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"9/11/2022";"1E08";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"16/10/2022";"C7.09";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"3/9/2022";"Auditório B2.04";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"7/9/2022";"C5.01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"11/9/2022";"2E10";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"15/2/2023";"C4.02";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"9/2/2023";"1E02";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"14/10/2022";"C5.06";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"12/8/2022";"Auditório B2.04";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"10/4/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"29/2/2023";"D1.06";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"18/3/2023";"Auditório 0NE03 - Mário Murteira";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"2/11/2022";"C5.01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"20/8/2022";"2E10";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"17/1/2023";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"22/10/2022";"Auditório 1";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"15/11/2022";"0S01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"14:30:00";"16:00:00";"21/8/2022";"2E04";"0"
"";"Arquitetura de Redes ";"03708T04";"";"0";"Seg";"16:00:00";"17:30:00";"17/9/2022";"Auditório B2.04";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"24/9/2022";"Auditório B2.04";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"25/10/2022";"C5.01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"24/3/2023";"C4.06";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"23/10/2022";"C7.09";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"10/2/2023";"0S01";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"28/8/2022";"C7.09";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"10/2/2023";"AA2.29";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"22/2/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"11:00:00";"12:30:00";"2/4/2023";"C5.07";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"25/10/2022";"1E08";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"3/2/2023";"AA2.29";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"09:30:00";"11:00:00";"24/3/2023";"C6.10";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"31/2/2023";"0S01";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"2/4/2023";"C5.07";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"27/9/2022";"0S01";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Qua";"17:00:00";"20:00:00";"25/0/2023";"Auditório 2";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"6/9/2022";"0S01";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"20/9/2022";"0S01";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"31/2/2023";"AA2.29";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"15/10/2022";"1E04";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"8/1/2023";"C4.02";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"11/9/2022";"Auditório 1";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Ter";"14:30:00";"16:00:00";"16/4/2023";"C5.07";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"19/3/2023";"2E07";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"1/2/2023";"2E07";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"25/9/2022";"Auditório 1";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Qua";"13:00:00";"14:30:00";"14/11/2022";"C5.01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"19/9/2022";"1E08";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"24/1/2023";"AA2.29";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"15/2/2023";"2E07";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"28/10/2022";"Auditório B2.04";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"26/3/2023";"C5.06";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"29/10/2022";"Auditório 1";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"15/4/2023";"C4.06";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Seg";"13:00:00";"14:30:00";"13/2/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"24/10/2022";"0S01";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"10/1/2023";"0S01";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"2/11/2022";"1E08";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Qui";"13:00:00";"14:30:00";"23/1/2023";"Auditório 2";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"2/11/2022";"1E08";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"11/10/2022";"C5.01";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"23/10/2022";"C5.09";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"20/3/2023";"D1.02";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"20/2/2023";"C4.06";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qui";"13:00:00";"14:30:00";"6/9/2022";"";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"4/9/2022";"1E04";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"12/3/2023";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"10/4/2023";"C4.02";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"6/9/2022";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"12/9/2022";"1E08";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"2/4/2023";"Auditório 0NE03 - Mário Murteira";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"21/9/2022";"1E08";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"9/1/2023";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"14/3/2023";"AA2.29";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"14/3/2023";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"4/9/2022";"Auditório 1";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qua";"16:00:00";"17:30:00";"2/10/2022";"C3.01";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"30/8/2022";"1E08";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"13/3/2023";"1E02";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"21/9/2022";"1E08";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"3/4/2023";"D1.06";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"31/9/2022";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"19/3/2023";"C4.02";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"4/4/2023";"C5.06";"0"
"";"Inteligência Artificial ";"L0731PL07";"";"0";"Qua";"14:30:00";"16:00:00";"22/2/2023";"D1.06";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"16:00:00";"17:30:00";"28/9/2022";"1E08";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Sex";"13:00:00";"14:30:00";"17/2/2023";"AA2.29";"0"
"";"Segurança em Sistemas de Informação ";"SSITP02";"";"0";"Ter";"16:00:00";"17:30:00";"21/2/2023";"Auditório Afonso de Barros";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"3/2/2023";"0S01";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"18/9/2022";"Auditório 1";"0"
"";"Visualização e Interação Pessoa";"03738T02";"";"0";"Seg";"14:30:00";"16:00:00";"12/11/2022";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"12/8/2022";"Auditório B2.04";"0"
"";"Marketing para as Tecnologias ";"01769T01";"";"0";"Ter";"13:00:00";"14:30:00";"15/10/2022";"Auditório 1";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"13/8/2022";"2E10";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Ter";"13:00:00";"14:30:00";"20/8/2022";"1E02";"0"
"";"Arquitetura de Redes ";"03708TP11";"";"0";"Ter";"14:30:00";"16:00:00";"11/9/2022";"1E04";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"30/2/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"12/11/2022";"Auditório B2.04";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Qua";"13:00:00";"14:30:00";"30/10/2022";"1E08";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"17/9/2022";"Auditório B2.04";"0"
"";"Inteligência Artificial ";"L0731T01";"";"0";"Seg";"16:00:00";"17:30:00";"13/1/2023";"C4.06";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"17/2/2023";"0S01";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"29/2/2023";"C4.02";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"30/2/2023";"1E02";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Qui";"13:00:00";"14:30:00";"2/2/2023";"Auditório 2";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Ter";"16:00:00";"17:30:00";"7/1/2023";"Auditório Afonso de Barros";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDT05";"";"0";"Qua";"13:00:00";"14:30:00";"1/2/2023";"C5.06";"0"
"";"Engenharia de Software ";"EngST03";"";"0";"Seg";"14:30:00";"16:00:00";"13/2/2023";"C5.06";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"15/8/2022";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"20/3/2023";"C4.08";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"14:30:00";"16:00:00";"22/8/2022";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"20/3/2023";"C5.06";"0"
"";"Controlo de Gestão ";"L0607TP05";"";"0";"Qua";"16:00:00";"17:30:00";"22/2/2023";"C4.02";"0"
"";"Programação Concorrente e Distribuída ";"L5096TP08";"";"0";"Qui";"16:00:00";"17:30:00";"24/10/2022";"0S01";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDTP08";"";"0";"Qui";"14:30:00";"16:00:00";"27/3/2023";"C5.06";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"28/3/2023";"0S08";"0"
"";"Segurança em Sistemas de Informação ";"SSIPL04";"";"0";"Qui";"13:00:00";"14:30:00";"11/4/2023";"D1.02";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"16:00:00";"17:30:00";"5/4/2023";"0S08";"0"
"";"Programação Concorrente e Distribuída ";"L5096T01";"";"0";"Seg";"13:00:00";"14:30:00";"7/10/2022";"Auditório B2.04";"0"
"";"Marketing para as Tecnologias ";"01769PL04";"";"0";"Sex";"13:00:00";"14:30:00";"30/8/2022";"C5.01";"0"
"";"Arquitetura de Redes ";"03708PL13";"";"0";"Qua";"11:00:00";"12:30:00";"19/9/2022";"C7.09";"0"
"";"Segurança em Sistemas de Informação ";"SSIT01";"";"0";"Ter";"16:00:00";"17:30:00";"7/2/2023";"Auditório Afonso de Barros";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Qui";"13:00:00";"14:30:00";"17/10/2022";"2E10";"0"
"";"Gestão de Recursos Humanos e de Equipas ";"03737TP01";"";"0";"Ter";"16:00:00";"17:30:00";"8/10/2022";"2E10";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"16/11/2022";"Auditório 1";"0"
"";"Engenharia de Software ";"EngSTP06";"";"0";"Sex";"14:30:00";"16:00:00";"21/3/2023";"0S08";"0"
"";"Visualização e Interação Pessoa";"03738TP04";"";"0";"Sex";"14:30:00";"16:00:00";"18/10/2022";"1E08";"0"
"";"Projeto de Integração de Sistemas de Informação Distribuídos ";"PISIDPL09";"";"0";"Qui";"16:00:00";"17:30:00";"23/2/2023";"1E02";"0"
